product_id,customer_id,quantity,price,date
1,1,22,76,3/17/2024
2,2,22,96,10/7/2023
3,3,52,92,1/16/2024
4,4,46,28,12/24/2023
5,5,27,44,10/29/2023
6,6,69,80,2/3/2024
7,7,75,79,10/21/2023
8,8,9,95,1/2/2024
9,9,48,32,12/9/2023
10,10,30,28,6/30/2024
11,11,84,19,4/5/2024
12,12,86,53,2/24/2024
13,13,39,74,7/1/2024
14,14,100,84,9/17/2024
15,15,5,89,7/17/2024
16,16,69,64,9/4/2024
17,17,69,79,7/17/2024
18,18,19,14,9/24/2023
19,19,71,12,7/3/2024
20,20,61,63,5/29/2024
21,21,88,40,7/14/2024
22,22,99,100,3/22/2024
23,23,67,42,12/15/2023
24,24,55,71,4/19/2024
25,25,88,99,10/7/2023
26,26,47,42,2/14/2024
27,27,53,55,1/19/2024
28,28,18,23,4/20/2024
29,29,61,61,1/10/2024
30,30,21,41,9/26/2023
31,31,13,29,5/4/2024
32,32,6,3,12/5/2023
33,33,43,100,10/4/2023
34,34,24,93,1/23/2024
35,35,4,14,10/7/2023
36,36,73,69,2/9/2024
37,37,9,56,11/14/2023
38,38,59,53,8/28/2024
39,39,1,46,11/30/2023
40,40,100,75,3/17/2024
41,41,97,1,1/17/2024
42,42,95,20,2/27/2024
43,43,46,59,4/8/2024
44,44,36,28,6/29/2024
45,45,85,17,5/13/2024
46,46,62,75,6/2/2024
47,47,82,11,6/6/2024
48,48,80,70,10/21/2023
49,49,47,31,4/25/2024
50,50,63,11,2/3/2024
51,51,90,80,9/26/2023
52,52,78,9,11/24/2023
53,53,49,80,10/24/2023
54,54,29,99,10/15/2023
55,55,48,92,7/8/2024
56,56,79,69,3/15/2024
57,57,76,5,6/18/2024
58,58,82,55,10/10/2023
59,59,27,84,3/2/2024
60,60,39,26,8/21/2024
61,61,94,3,7/23/2024
62,62,3,8,5/23/2024
63,63,94,96,1/20/2024
64,64,68,55,9/27/2023
65,65,40,94,1/15/2024
66,66,63,99,2/26/2024
67,67,80,98,4/2/2024
68,68,15,40,5/11/2024
69,69,81,92,9/21/2023
70,70,73,32,11/13/2023
71,71,48,72,10/14/2023
72,72,58,26,5/17/2024
73,73,60,50,3/26/2024
74,74,43,22,4/23/2024
75,75,17,95,7/23/2024
76,76,77,2,7/26/2024
77,77,69,100,10/4/2023
78,78,3,70,3/25/2024
79,79,1,88,2/20/2024
80,80,23,50,6/3/2024
81,81,5,34,10/28/2023
82,82,72,86,4/21/2024
83,83,24,59,4/17/2024
84,84,68,27,6/7/2024
85,85,49,38,4/8/2024
86,86,4,15,3/15/2024
87,87,33,74,7/4/2024
88,88,87,27,4/28/2024
89,89,35,37,10/10/2023
90,90,29,67,4/12/2024
91,91,65,77,3/25/2024
92,92,5,57,11/26/2023
93,93,8,66,7/4/2024
94,94,54,8,9/26/2023
95,95,83,53,3/10/2024
96,96,84,91,6/30/2024
97,97,23,19,7/1/2024
98,98,41,33,2/28/2024
99,99,94,73,9/3/2024
100,100,32,43,2/2/2024
101,101,96,15,1/4/2024
102,102,1,87,2/25/2024
103,103,80,33,1/16/2024
104,104,77,84,7/15/2024
105,105,94,2,5/11/2024
106,106,26,94,5/18/2024
107,107,1,7,4/22/2024
108,108,70,72,11/5/2023
109,109,95,5,8/26/2024
110,110,64,6,5/6/2024
111,111,16,68,10/24/2023
112,112,9,73,2/10/2024
113,113,23,28,1/15/2024
114,114,64,58,8/15/2024
115,115,30,89,6/18/2024
116,116,15,63,9/30/2023
117,117,36,87,6/15/2024
118,118,88,65,9/30/2023
119,119,31,30,3/13/2024
120,120,80,53,5/9/2024
121,121,46,4,2/13/2024
122,122,4,39,4/27/2024
123,123,80,11,9/25/2023
124,124,18,49,9/19/2024
125,125,10,60,2/24/2024
126,126,64,53,5/25/2024
127,127,69,78,10/10/2023
128,128,12,90,10/23/2023
129,129,92,6,11/6/2023
130,130,40,79,12/16/2023
131,131,50,64,7/1/2024
132,132,1,36,4/29/2024
133,133,70,91,3/27/2024
134,134,96,78,5/9/2024
135,135,15,10,5/9/2024
136,136,18,49,1/9/2024
137,137,43,73,4/16/2024
138,138,44,69,4/21/2024
139,139,78,70,8/5/2024
140,140,66,96,8/16/2024
141,141,5,60,5/29/2024
142,142,22,63,5/18/2024
143,143,41,16,10/5/2023
144,144,51,91,11/9/2023
145,145,53,13,10/7/2023
146,146,2,87,11/1/2023
147,147,29,46,7/29/2024
148,148,32,93,8/24/2024
149,149,43,35,11/6/2023
150,150,37,91,2/28/2024
151,151,77,75,12/3/2023
152,152,27,78,1/17/2024
153,153,83,92,11/1/2023
154,154,81,96,8/19/2024
155,155,72,89,1/22/2024
156,156,59,92,10/17/2023
157,157,39,58,10/22/2023
158,158,66,22,5/18/2024
159,159,31,66,8/13/2024
160,160,71,61,8/22/2024
161,161,23,4,7/14/2024
162,162,52,29,1/9/2024
163,163,89,52,2/22/2024
164,164,47,79,4/16/2024
165,165,54,85,12/5/2023
166,166,57,96,3/29/2024
167,167,13,87,4/16/2024
168,168,54,69,1/16/2024
169,169,81,70,1/12/2024
170,170,42,3,8/6/2024
171,171,97,19,2/6/2024
172,172,14,57,6/21/2024
173,173,87,49,5/5/2024
174,174,70,14,6/2/2024
175,175,82,88,11/3/2023
176,176,19,91,11/6/2023
177,177,70,63,12/2/2023
178,178,66,44,3/2/2024
179,179,73,17,6/16/2024
180,180,79,77,11/4/2023
181,181,84,90,9/7/2024
182,182,56,5,10/26/2023
183,183,95,76,1/29/2024
184,184,14,59,1/10/2024
185,185,20,73,9/2/2024
186,186,45,8,10/12/2023
187,187,40,58,11/13/2023
188,188,9,86,2/28/2024
189,189,53,83,8/20/2024
190,190,85,5,9/14/2024
191,191,67,76,1/29/2024
192,192,42,66,6/20/2024
193,193,69,48,9/6/2024
194,194,3,31,8/17/2024
195,195,22,52,6/22/2024
196,196,86,10,1/12/2024
197,197,22,41,11/3/2023
198,198,89,42,5/2/2024
199,199,31,50,6/2/2024
200,200,49,36,2/4/2024
201,201,13,100,2/10/2024
202,202,53,17,3/18/2024
203,203,87,58,11/27/2023
204,204,5,47,11/21/2023
205,205,68,17,2/18/2024
206,206,59,33,7/21/2024
207,207,92,32,9/13/2024
208,208,77,99,6/3/2024
209,209,64,6,3/31/2024
210,210,49,13,12/9/2023
211,211,44,94,5/23/2024
212,212,91,30,2/4/2024
213,213,76,19,11/10/2023
214,214,34,71,6/24/2024
215,215,25,57,3/1/2024
216,216,74,30,9/29/2023
217,217,85,63,1/2/2024
218,218,68,50,4/10/2024
219,219,76,81,2/25/2024
220,220,28,16,1/5/2024
221,221,50,2,3/20/2024
222,222,14,61,12/7/2023
223,223,34,60,8/30/2024
224,224,77,59,9/19/2024
225,225,75,72,1/2/2024
226,226,55,17,2/8/2024
227,227,79,49,6/1/2024
228,228,40,78,6/22/2024
229,229,73,57,2/22/2024
230,230,92,67,7/3/2024
231,231,77,95,3/13/2024
232,232,72,20,3/5/2024
233,233,15,36,12/10/2023
234,234,11,37,4/22/2024
235,235,67,38,9/14/2024
236,236,95,43,3/10/2024
237,237,85,2,9/5/2024
238,238,61,8,5/4/2024
239,239,67,38,10/26/2023
240,240,65,78,8/29/2024
241,241,13,37,9/20/2023
242,242,93,42,4/14/2024
243,243,59,15,3/8/2024
244,244,82,19,3/9/2024
245,245,15,80,7/21/2024
246,246,1,88,9/14/2024
247,247,99,97,8/7/2024
248,248,59,56,5/31/2024
249,249,30,8,7/12/2024
250,250,39,34,6/14/2024
251,251,25,92,7/21/2024
252,252,13,66,7/5/2024
253,253,2,94,8/26/2024
254,254,62,50,5/4/2024
255,255,70,7,9/11/2024
256,256,29,77,1/18/2024
257,257,79,65,3/26/2024
258,258,20,85,1/3/2024
259,259,7,69,4/4/2024
260,260,48,48,8/2/2024
261,261,26,66,9/29/2023
262,262,93,61,3/23/2024
263,263,18,27,4/10/2024
264,264,95,86,9/1/2024
265,265,9,93,2/10/2024
266,266,63,99,4/29/2024
267,267,36,16,12/25/2023
268,268,69,15,10/11/2023
269,269,50,83,6/26/2024
